QUEST_20150317_000001	Por favor, selecione o usuário que precisa de uma atualização de quest.
QUEST_20150317_000272	Giltine está preparando o palco para um desastre, virando a essência da Árvore da Vida contra si mesma.{nl}Ao reverter o fluxo de energia vital, a Árvore da Vida a recupera, e cresce até atingir uma escala tremenda.
QUEST_20150317_000273	A Árvore da Vida descontrolada rasgará a terra, trazendo desastre a todos. {nl}De fato, a Árvore Divina que você vê em sua época é, na verdade, a Árvore da Vida.
QUEST_20150317_000274	A catástrofe não vai parar por aí. {nl}Você certamente já viu Cristais de Raiz da Árvore.
QUEST_20150317_000275	Os demônios os transformaram para consumir os espíritos com facilidade e ajudar no crescimento da Árvore. {nl}Por causa disso, muitos novos monstros nascerão, armados com ainda mais ferocidade.
QUEST_20150317_000276	Quando fiquei sabendo de tudo, o que restou da minha força não podia lidar com a grande calamidade. {nl}A profecia enviada a Zachariel sobre a destruição da capital foi esquecida devido ao planejamento dos demônios.
QUEST_20150317_000277	A Árvore da Vida continuará a crescer. {nl}Com qual finalidade... está além do meu controle.
QUEST_20150317_000278	Entretanto, duvido que os flagelos que vi fossem o limite de tudo que acontecerá. {nl}Eu acredito que as sementes da mudança virão de você.
QUEST_20150317_000279	Terminarei minha longa história aqui. O sábio Maven detém a próxima revelação. {nl}Eu aguardarei em silêncio pelo dia em que você atingirá a Grande Catedral.
QUEST_20150317_000280	Deusa Gabija
QUEST_20150317_000281	Agradeço a você, Salvador. {nl}Se tivesse escutado Laima, não estaria me arrependendo deste dia.
QUEST_20150317_000282	Graças a você, recuperei minha força, mas isso só começou. {nl}Em troca, afastarei os demônios com uma revelação falsa na torre.
QUEST_20150317_000283	Antes disso, tenho algo a dizer: {nl}A história de Laima.
QUEST_20150317_000284	Leiloeiro
QUEST_20150317_000285	Não é fácil conseguir as coisas boas. {nl}Mercadores estão repensando suas rotas, graças ao monstros ao redor de Klaipeda.
QUEST_20150317_000286	O leilão começou! {nl}Enfrentamos sérias encrencas para trazer os itens listados. {nl}Vamos começar a fazer os lances!
QUEST_20150317_000287	Essa é a Floresta Siauliai Ocidental. {nl}Devíamos dar certa quantia quando os habitantes cuidarem dos memoriais, certo?
QUEST_20150317_000288	Então, o Mestre Taumaturgo enviou você. {nl}Primeiro, uma pergunta. O centro de Fedimian tem uma estátua feita à imagem de qual deusa?
QUEST_20150317_000289	Aqui vai o questionário, então ouça com atenção! {nl}Qual é o nome do grupo que Lydia Schaffen formou para recuperar a revelação da deusa?
QUEST_20150317_000290	Você leu algum livro nas Minas de Cristal Lote 1, 2o Andar? {nl}Qual é o nome do prisioneiro que não foi capaz de escapar depois de lacrar Mirtis causando o desmoronamento da Mina de Cristal?
QUEST_20150317_000291	Leve isso. Não preciso mais disso... Ugh... {nl}Depois de terminar essa bebida, vou procurar pelo meu irmão novamente... Heh...
QUEST_20150317_000292	O quê? Meu irmão morreu? {nl}Que baboseira é essa que você tá falando, hein? Saia daqui! *sniff*
QUEST_20150317_000293	Coruja Sensível
QUEST_20150317_000294	A coruja pia...
QUEST_20150317_000295	A coruja pia... Parece muito triste, chorando sozinha.
QUEST_20150317_000296	Isso mesmo. Muito bem!
QUEST_20150317_000297	Essa foi por pouco. Tente sua sorte mais uma vez.
QUEST_20150317_000298	Excelente. Isso mesmo!
QUEST_20150317_000299	Não. Tente novamente.
QUEST_20150317_000300	Bom. Muito bem!
QUEST_20150317_000301	Você errou essa. {nl}Que tal tentar novamente?
QUEST_20150317_000302	O lugar lá em cima é o local divino onde a Estátua da Deusa gigantesca, o símbolo de Fedimian, se encontra. {nl}Todos os crentes, limpem-se e adorem em silêncio.
QUEST_20150317_000303	Fedimian nem sempre foi assim... {nl}Outrora, foi uma cidade vibrante e bela. {nl}Felizmente, o distrito divino onde a Estátua da Deusa central se encontra, ainda está bem.
QUEST_20150317_000304	Fedimian era originalmente dividida em dois distritos, o distrito comercial e o distrito divino. {nl}Mas um incidente há quatro anos deixou o distrito comercial completamente destruído e Fedimian logo mudou para pior...
QUEST_20150317_000305	Por uma graça dos céus o distrito divino ainda resiste até hoje, graças à bênção da deusa.
QUEST_20150317_000306	Sou apenas um velho homem ordinário em Fedimian. {nl}Se quiser saber mais, me traga alguns bolinhos de batata...
QUEST_20150317_000307	A comida em Fedimian é horrível. {nl}Antes de morrer, será possível experimentar toda a comida deliciosa do mundo?
QUEST_20150317_000308	Esse é o Distrito Sagrado de Fedimian. {nl}Que você recebe a plena bênção das deusas.
QUEST_20150317_000309	Por enquanto, o Distrito Comercial está fechado para reconstrução. {nl}Por favor, não entre nesse distrito.
QUEST_20150317_000310	O Distrito Sagrado de Fedimian lhe dá boas-vindas.
QUEST_20150317_000311	Agradecemos muito por seus esforços. Vamos investigar aqui mais uma vez. {nl}Anime-se!
QUEST_20150317_000312	Já terminou? {nl}Incrível! Ninguém esperaria menos de um Revelador!
QUEST_20150317_000313	Diz-se que se alguém receber coisas boas demais, ele começará a acreditar que é seu direito. {nl}Talvez tenhamos dependido demais da deusa.
QUEST_20150317_000314	Soldado Pitt
QUEST_20150317_000315	Você é o Revelador? {nl}É uma grande honra conhecer você!
QUEST_20150317_000316	Soldado Bran
QUEST_20150317_000317	Desde criança, foi meu sonho lutar na linha de frente!
QUEST_20150317_000318	Soldado em Treinamento Malt
QUEST_20150317_000319	O número de monstros não está caindo, mesmo depois do Revelador se esforçar tanto...
QUEST_20150317_000320	Comandante Raimondas
QUEST_20150317_000321	Muitas pessoas que clamam ser Reveladores vêm até aqui. {nl}Você é uma delas?
QUEST_20150317_000322	Encontrei muitos Reveladores, mas nunca vi um parecido com você. {nl}Muito bem. Espero que nos encontremos novamente algum dia.
QUEST_20150317_000323	Corretor de Ervas
QUEST_20150317_000324	Você precisa de algo?
QUEST_20150317_000325	O que você vê aqui não é tudo que tenho à venda. Hehe...
QUEST_20150317_000326	Instrutor Nicker
QUEST_20150317_000327	Se um dos soldados desrespeitar uma regra, isso pode colocar todo o exército em perigo. {nl}É por isso que devemos ser tão severos.
QUEST_20150317_000328	Acho que vou admitir agora. Você, Revelador, persegue o sonho da deusa. {nl}Não será fácil, mas acredito que se sairá bem.
QUEST_20150317_000329	Você é o Revelador? Bom trabalho, {nl}mas ainda não tenho certeza de que posso confiar em você.
QUEST_20150317_000330	Acesso Restrito
QUEST_20150317_000331	Para sobreviver nesse mundo caótico, você precisa usar uns truques sujos de vez em quando. {nl}Você não deveria se sentir mal por causa disso.
QUEST_20150317_000332	Se quer um trabalho realizado com rapidez, faça você mesmo. {nl}É por isso que virei um soldado.
QUEST_20150317_000333	Ouvi muitas histórias de heróis que lutaram pela justiça na minha infância, {nl}mas sempre achei que fossem só histórias...{nl}Agora, acho que tais heróis podem existir.
QUEST_20150317_000334	York
QUEST_20150317_000335	A deusa pode ter nos abandonado, mas estamos a salvo com o Revelador aqui conosco.
QUEST_20150317_000336	Quero voltar para minha cidade natal... {nl}Não posso mais esperar pelos suprimentos. {nl}Também não há fim à vista para essa situação. *suspiro*
QUEST_20150317_000337	Há momentos em que quero apenas sair sem o uniforme e as botas. {nl}Faço isso apenas pela segurança da minha família.
QUEST_20150317_000338	Eu mesmo não sou poeta, então não posso dizer com certeza... mas você parece diferente. {nl}De qualquer forma, espero poder ouvir mais sobre você, mesmo que você esteja longe.
QUEST_20150317_000339	Vendedor de Rua
QUEST_20150317_000340	Temos tudo aqui. {nl}Mas como você pode ver, estamos temporariamente fechados.
QUEST_20150317_000341	Epitáfio
QUEST_20150317_000342	Não consigo ler nada.
QUEST_20150317_000343	Você se lembra de Schmid toda vez que vê essa cópia.
QUEST_20150317_000344	Aviso
QUEST_20150317_000345	Rei Zachariel está enterrado aqui.
QUEST_20150317_000346	Esse é o Distrito Sagrado de Fedimian protegido pela Deusa Zemyna.
QUEST_20150317_000347	Por favor, não entre; sua segurança não é garantida. {nl}Para mais perguntas, fale com o Oficial de Intermediação Niels.
QUEST_20150317_000348	Lápide
QUEST_20150317_000349	Está ilegível. {nl}Vamos perguntar ao habitante que está aqui ao lado.
QUEST_20150317_000350	Um Diário de um Soldado
QUEST_20150317_000351	Encontrou o diário de um soldado na mochila militar.
QUEST_20150317_000352	Corajoso Protetor de Zachariel
QUEST_20150317_000353	Correto. {nl}Eu quebrarei o lacre.
QUEST_20150317_000354	Errado. {nl}Mas vou dar a você mais uma chance.
QUEST_20150317_000355	Fiel Protetor de Zachariel
QUEST_20150317_000356	Me desculpe, mas apenas pessoas autorizadas podem usar o bondinho.
QUEST_20150317_000357	Echo de Liliya
QUEST_20150317_000358	Tem algo enterrado embaixo daquela grama?
QUEST_20150317_000359	Por que eu... Por que isso... Argh! Por favor, me ajude... {nl}Não... Só me deixe morrer...
QUEST_20150317_000360	O que ela procurava, mesmo enquanto estava morrendo? {nl}Certamente, há uma história trágica por trás disso tudo.
QUEST_20150317_000361	Eu não sei o que Lorde dos Demônios estava pensando... mas acredito, depois de me deixar vivo, {nl}que estava tentando obter uma pista do que procurava com as pessoas em suas peregrinações. {nl}Ah, estou tão tonto...
QUEST_20150317_000362	Prestes a ser explodido.
QUEST_20150317_000363	Selecione a quantia de contribuição.
QUEST_20150317_000364	Quantia planejada de contribuição.
QUEST_20150317_000365	Quantia incorreta de contribuição. Nada acontece. (Balão de Mensagem)
QUEST_20150317_000366	Você colocou a quantia errada de contribuição? {nl}Nada aconteceu. Tente novamente.
QUEST_20150317_000367	Não tenho prata suficiente agora...
QUEST_20150317_000368	Estátua de Vakarine
QUEST_20150317_000369	Qual caminho você escolhe?
QUEST_20150317_000370	Ouvi dizer que o santuário na Floresta Anômala da Árvore Roxa está corrompida. {nl}Todos os Mestres sabem que Naktis foi responsável por isso. Se você levar o purificador {nl}que estou vendendo e queimá-lo, vai purificar a corrupção. {nl}Quer comprar?
QUEST_20150317_000371	Isso é uma pena.
QUEST_20150317_000372	Sacrário das Bênçãos
QUEST_20150317_000373	Você vai fazer uma contribuição?
QUEST_20150317_000374	Uma gota de orvalho se desprendeu e caiu no chão.
QUEST_20150317_000375	Naktis e seus seguidores provavelmente estarão procurando pistas para entrar na Grande Catedral.
QUEST_20150317_000376	Naktis é leal a Gesti e fará qualquer coisa para ser reconhecido. {nl}Talvez a Estrada do Peregrino também seja uma forma de obter as pistas para entrar na Catedral e ser reconhecido por Gesti? {nl}Ahh, então Naktis pode já ter entrado na Catedral?
QUEST_20150317_000377	Não se move. {nl}Onde está a chave?
QUEST_20150317_000378	Qual é a história por trás disso? {nl}A alma aprisionada simplesmente entregou as escrituras e desapareceu.
QUEST_20150317_000379	O remédio realmente funciona?
QUEST_20150317_000380	Voz
QUEST_20150317_000381	Você sente algo suspeito dentro.
QUEST_20150317_000382	Esposa Preocupada
QUEST_20150317_000383	Você já teve sua sorte lida? É bastante precisa, não? {nl}A Deusa Laima sabe de tudo. Destino, Clarividência e Sorte. {nl}Acho que ela pode ter sabido de antemão sobre todos esses desastres.
QUEST_20150317_000384	Rezo para a Deusa Gabija todos os dias. Mantém a casa aquecida. {nl}Como você já deve saber, a Deusa Gabija controla fogo e, já que sou dona de casa, também sou íntima do fogo.
QUEST_20150317_000385	Meu marido sempre reza para a Deusa Zemyna. {nl}Se quiser uma boa safra de batata, é melhor não irritá-la. {nl}A Deusa Zemyna é a deusa da terra. Ela protege fazendas e a agricultura.
QUEST_20150317_000386	Falando nisso... {nl}Sobre as plantas que vêm crescendo fora de controle desde Medzio Diena, quatro anos atrás...
QUEST_20150317_000387	Me pergunto o que a Deusa Zemyna pensará sobre isso. {nl}Tudo será revelado quando a deusa voltar, mas... {nl}Ah, mas isso que digo é blasfêmia.
QUEST_20150317_000388	Você notou as estrelas brilhando vermelhas no céu noturno? {nl}São o próprio símbolo da Deusa Vakarine. {nl}Ela lidera à frente da estrela vespertina, e desperta a Deusa Ausrine no dia seguinte.
QUEST_20150317_000389	Ela também protege a energia e o descanso, então é a guardiã de viajantes como você. {nl}Brade o nome da Deusa Vakarine três vezes quando suas pernas doerem e você se sentirá muito melhor.
QUEST_20150317_000390	O que você está fazendo aqui? {nl}A deusa também disse para ir a Klaipeda em seus sonhos?
QUEST_20150317_000391	Ainda está me seguindo depois de tudo isso? {nl}Tá, resista o quanto quiser.
QUEST_20150317_000392	Há uma Torre da Maga perto de Fedimian que foi construída pela Arquimaga Agailla Flurry. {nl}A torre nunca foi revelada, e nenhuma entrada pôde ser encontrada.
QUEST_20150317_000393	Bem, é por isso que alguns dizem ser só uma lenda... {nl}Mas recentemente soube de pessoas dizendo ter vindo de lá.
QUEST_20150317_000394	O tamanho da Estátua da Deusa Zemyna impressionará você. {nl}Mesmo que metade dela tenha sido soterrada no Grande Terremoto, {nl}a metade restante ainda é grande demais para ser vista toda de uma vez.
QUEST_20150317_000395	Saudações. Uska me avisou que você estava vindo. {nl}Não fique aí sem se mexer. Quero falar com você.
QUEST_20150317_000396	Então, foi você quem obteve a revelação da Mina de Cristal, certo? {nl}Se não se incomodar, queria saber dos detalhes.
QUEST_20150317_000397	Incrível. {nl}Também seguimos a vontade do primeiro Paladino e viemos aqui para guardar esse lugar. {nl}O mesmo vale para os Vigias aqui.
QUEST_20150317_000398	O primeiro Paladino ficou sabendo de muitas coisas por meio da deusa. {nl}Ameaças de Gesti, regras a seguir e que um Salvador viria.
QUEST_20150317_000399	De qualquer forma, voltarei ao combate, então ajude os guardas e meus seguidores. {nl}Verei você de novo no Penhasco de Jade.
QUEST_20150317_000400	Discípulo dos Idosos
QUEST_20150317_000401	Ajudar a reconstruir Fedimian pode ser mais importante do que fazer vasos. {nl}Mas as pessoas precisam de algo para aliviar seus corações.
QUEST_20150317_000402	Também estava colocando tabuletas de barro, inscritas com os desejos das pessoas, dentro do espiral de potes. {nl} Procurar e ler os pequenos desejos das pessoas da antiguidade é um passatempo agradável.
QUEST_20150317_000403	Velha Senhora de Fedimian
QUEST_20150317_000404	É um alívio ver o Distrito Sagrado intacto. {nl} Tudo isso se deve à bênção da Deusa Zemyna.
QUEST_20150317_000405	Obtenha o Símbolo de Treinamento com o Gerente de Treinamento. {nl}Permitirei que você entre para a tropa se completar o treinamento.
